Suburb,Rooms,Type,Method,SellerG,Distance,Postcode,Bedroom,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Latitude,Longtitude,Regionname,Propertycount,ParkingArea,Price,year_list,month_list
Fawkner,2,t,VB,Brad,13.1,3060,1.8,1,0.8,148.8,95.8,1998,Hume City Council,-37.893952,145.006056,Northern Metropolitan,5070,Detached Garage,500000,2018,2
Caulfield South,2,h,PI,Jellis,8.7,3162,2,1,3,638,209.8,1963.4,Glen Eira City Council,-37.89755,145.02709,Southern Metropolitan,5051,Attached Garage,1600000,2017,10
Bentleigh,4,h,S,Jellis,11.4,3204,4,3,2,560,230.8,2008,Glen Eira City Council,-37.91324,145.02513,Southern Metropolitan,6795,Outdoor Stall,2260000,2017,10
Hampton East,2,u,S,Buxton,14.5,3188,2.8,1.4,1.4,454.2,104,1983.4,Bayside City Council,-37.667754,144.860628,Southern Metropolitan,2356,Outdoor Stall,522000,2016,6
Prahran,2,u,PI,hockingstuart,4.6,3181,2,2,1,1111,92.2,2012,Stonnington City Council,-37.84968,144.99389,Southern Metropolitan,7717,Detached Garage,520000,2017,7
Doreen,4,h,S,Millership,14.02,3754,4,2,2,687,235,2008,Nillumbik Shire Council,-37.6147,145.13255,Northern Victoria,7254,Carport,670000,2018,2
Chelsea,3,h,S,O'Brien,10.94,3196,3,1,1,1089,152.8,1948,Kingston City Council,-38.04851,145.11612,South-Eastern Metropolitan,3906,Parkade,1417000,2017,10
Brighton,3,h,SP,Nick,10.5,3186,3,2,2,314,201.2,1941,Bayside City Council,-37.9026,144.99608,Southern Metropolitan,10579,Detached Garage,2105000,2018,2
Kensington,3,h,S,Edward,3.4,3031,3,1,0,170,132.2,1959.8,Melbourne City Council,-37.79399,144.93212,Northern Metropolitan,5263,Carport,1122500,2018,10
Brighton East,5,h,SP,Hodges,10.3,3187,5,2,2,773,275,1950,Bayside City Council,-37.93203,145.02844,Southern Metropolitan,6938,Parkade,1650000,2017,8
Greensborough,3,h,SP,Fletchers,16.1,3088,2.4,1,1.2,447.4,120.4,1977,Banyule City Council,-37.725,145.035124,Northern Metropolitan,8524,Attached Garage,706000,2017,11
Ashburton,3,t,VB,Jellis,11,3147,3.4,1.4,0.8,512.8,116.8,1959.4,Boroondara City Council,-37.780664,145.00804,Southern Metropolitan,3052,Attached Garage,1300000,2016,9
Brooklyn,3,t,S,Jas,6.4,3012,3,2,2,244,129,2010,Brimbank City Council,-37.82017,144.84904,Western Metropolitan,962,Indoor,663000,2017,5
Point Cook,4,h,S,LJ,14.7,3030,4,2,2,307.6,154.8,1989.4,Wyndham City Council,-37.90353,144.73379,Western Metropolitan,15542,Detached Garage,622000,2017,10
Hampton,4,h,S,hockingstuart,13.8,3188,4,2,2,695,206.2,1957.6,Bayside City Council,-37.9352,145.0072,Southern Metropolitan,5454,Attached Garage,1900000,2017,11
Beaumaris,4,t,SP,Chisholm,17.3,3193,4,2,3,353,252,2010,Bayside City Council,-37.9904,145.03871,Southern Metropolitan,5366,Detached Garage,1820000,2018,3
Essendon,3,h,S,Paul,8,3040,3,2,1,605,138,1920,Moonee Valley City Council,-37.7546,144.9042,Western Metropolitan,9264,Detached Garage,1460000,2016,8
Bentleigh East,2,h,S,C21,13.9,3165,2,1,2,724,147.2,1955.4,Glen Eira City Council,-37.9135,145.0557,Southern Metropolitan,10969,Outdoor Stall,1630000,2017,2
Taylors Lakes,3,h,S,Barry,15.5,3038,3,2,2,399.2,156.2,1991.2,Brimbank City Council,-37.70939,144.79836,Western Metropolitan,5336,Attached Garage,670000,2018,10
Keilor East,3,h,S,Nelson,12.8,3033,3,3,1,318,100,1957.4,Brimbank City Council,-37.7338,144.8662,Western Metropolitan,5629,Indoor,825000,2016,10
Prahran,2,h,S,Kay,4.5,3181,2,1,1,175,125.6,1955.4,Stonnington City Council,-37.857,145.0058,Southern Metropolitan,7717,Attached Garage,1021000,2016,8
Blackburn South,3,h,S,Ray,13.4,3130,3,2,2,887,150,1990,Whitehorse City Council,-37.8429,145.14895,Eastern Metropolitan,4387,Parking Pad,905000,2017,8
Reservoir,2,t,S,RW,12,3073,2.8,1,1.8,459.6,106,1969.2,Darebin City Council,-37.718306,145.00973,Northern Metropolitan,21650,Carport,610000,2018,3
Footscray,1,u,S,Sweeney,6.4,3011,1,1,1,0,50,1970,Maribyrnong City Council,-37.7907,144.8924,Western Metropolitan,7570,Parkade,216000,2016,4
Oak Park,3,u,PI,Brad,11.2,3046,2.4,1.4,0.8,299.4,99,1985.4,Moreland City Council,-37.766592,144.985666,Northern Metropolitan,2651,Parkade,660000,2017,10
Oakleigh South,3,h,S,Ray,14.7,3167,3,2,2,609,172,1970,Kingston City Council,-37.9213,145.0854,South-Eastern Metropolitan,3692,Parking Pad,1068000,2016,11
Brighton East,3,t,S,Buxton,10.7,3187,3.6,1.4,1.6,624.2,174.8,1940.2,Bayside City Council,-37.9096,145.009,Southern Metropolitan,6938,Carport,1580000,2017,2
Hadfield,3,h,SP,Barry,11.2,3046,3,1,2,550,107,1970,Moreland City Council,-37.70202,144.94064,Northern Metropolitan,2606,Attached Garage,685000,2018,3
Glenroy,4,h,SP,Brad,11.2,3046,4,3,2,582,115.8,1962,Moreland City Council,-37.70801,144.9135,Northern Metropolitan,8870,Detached Garage,875000,2017,7
Yarraville,4,h,PI,Sweeney,7,3013,4,1,2,360,169,1910,Maribyrnong City Council,-37.8212,144.8887,Western Metropolitan,6543,Indoor,660000,2016,4
Keysborough,4,h,S,C21,25.2,3173,4,2,1,624,159,1969,Greater Dandenong City Council,-37.9887,145.16158,South-Eastern Metropolitan,8459,Detached Garage,745000,2017,3
Cheltenham,3,h,PI,O'Brien,17.9,3192,3,1,2,272.4,162.2,1992.2,Bayside City Council,-37.96338,145.06909,Southern Metropolitan,9758,Attached Garage,970000,2017,10
Ascot Vale,3,h,S,Brad,4.3,3032,3,1,2,438,181.2,1960,Moonee Valley City Council,-37.77451,144.9025,Western Metropolitan,6567,Carport,1320000,2018,2
Beaconsfield Upper,4,h,SP,LJ,14.48,3808,4,2,2,1031,161,1960,Cardinia Shire Council,-38.00224,145.41081,Eastern Victoria,973,Attached Garage,675000,2017,6
Knoxfield,4,h,S,Ray,23.3,3180,4,2,2,633,141.2,1967.2,Knox City Council,-37.88214,145.25058,Eastern Metropolitan,2949,Carport,1040000,2017,7
Glen Iris,4,h,S,J,9.2,3146,4,2,1,739,183,2002,Boroondara City Council,-37.8513,145.0601,Southern Metropolitan,10412,Carport,1998000,2016,3
Fitzroy,1,u,S,Nelson,2.1,3065,3,1.2,1.8,291.8,130.4,1972,Yarra City Council,-37.831286,144.935596,Northern Metropolitan,5825,Attached Garage,810000,2017,9
Camberwell,3,h,VB,Garvey,7.7,3124,2.8,1.8,1.4,396,186.8,1934,Boroondara City Council,-37.859602,145.03323,Southern Metropolitan,8920,Outdoor Stall,1800000,2017,11
Princes Hill,2,h,S,Woodards,3.5,3054,2,2,1,124,171.6,1945,Yarra City Council,-37.78395,144.96755,Northern Metropolitan,1008,Parkade,1530000,2018,3
Port Melbourne,3,u,PI,RT,3.5,3207,3.6,1.8,2,475.8,185.2,1982.2,Melbourne City Council,-37.820486,145.046988,Southern Metropolitan,8648,Attached Garage,1650000,2017,11
Yarraville,3,h,VB,Jas,6.3,3013,2.8,1.2,1.2,376.4,128,1957.8,Maribyrnong City Council,-37.831484,145.009454,Western Metropolitan,6543,Indoor,1090000,2017,11
Bentleigh,3,t,PI,Buxton,11.4,3204,3.6,2.2,1.6,434.2,184.6,1949.4,Glen Eira City Council,-37.878564,145.04837,Southern Metropolitan,6795,Attached Garage,1200000,2017,9
Newport,1,h,S,Jas,8.4,3015,1,1,0,622,175.6,1930,Hobsons Bay City Council,-37.8497,144.8903,Western Metropolitan,5498,Carport,1700000,2017,5
Burwood,3,t,VB,Jellis,10.4,3125,3.6,1.8,1.4,633.4,170.2,1967,Monash City Council,-37.886174,145.013052,Southern Metropolitan,5678,Parkade,925000,2018,2
Brunswick,3,u,S,Jellis,5.2,3056,3,1,1,0,85,2000,Moreland City Council,-37.773,144.9624,Northern Metropolitan,11918,Outdoor Stall,1044000,2016,7
Blackburn South,4,h,S,McGrath,13.4,3130,4,2,2,727,115,1960,Whitehorse City Council,-37.84378,145.13407,Eastern Metropolitan,4387,Carport,1229000,2017,9
Albion,2,u,S,Barry,13.9,3020,3,1,1,199,79.842,1977.6,Brimbank City Council,-37.7761,144.8164,Western Metropolitan,2185,Indoor,463000,2016,9
Heidelberg,4,h,VB,Miles,8.9,3084,4,2,3,680,178.8,1954,Banyule City Council,-37.74605,145.08504,Eastern Metropolitan,2890,Parkade,1430000,2017,8
Preston,3,h,PI,Woodards,8.4,3072,3,1,1,457.8,137.6,1977.2,Darebin City Council,-37.73531,145.01622,Northern Metropolitan,14577,Indoor,700000,2017,10
Fawkner,2,h,S,Barry,13.1,3060,2.2,1.2,1.4,266.4,136.4,1980.4,Hume City Council,-37.81484,144.946058,Northern Metropolitan,5070,Parkade,672000,2017,1
Glen Huntly,2,u,S,Woodards,10.1,3163,2.2,1.2,2.2,192.2,94.4,1986.2,Glen Eira City Council,-37.768434,144.875324,Southern Metropolitan,2403,Carport,545000,2017,9
Hawthorn East,2,u,VB,Peter,7.5,3123,2,1,1,640.4,92.8,1978,Boroondara City Council,-37.8414,145.0505,Southern Metropolitan,6482,Indoor,500000,2016,11
Brunswick East,4,h,S,Harrington,4.5,3057,4,2,2,136,151,1997,Moreland City Council,-37.7601,144.9805,Northern Metropolitan,5533,Underground,856000,2016,3
Rowville,5,h,PI,C21,23.5,3178,2.8,1.6,1.2,230,148,1980.8,Knox City Council,-37.75309,144.96847,South-Eastern Metropolitan,11667,Indoor,740000,2017,11
Maribyrnong,2,u,S,Brad,4.3,3032,2,2,2,293,90,2004,Maribyrnong City Council,-37.77518,144.89254,Western Metropolitan,4918,Parkade,585000,2017,3
Reservoir,3,u,S,Barry,11.2,3073,2.8,1.2,1.4,355.4,108.6,1975,Darebin City Council,-37.738282,145.000596,Northern Metropolitan,21650,Attached Garage,542000,2016,7
Glenroy,2,h,PI,RW,11.2,3046,2,1,1.6,589,96,1968.6,Moreland City Council,-37.69708,144.92967,Northern Metropolitan,8870,Carport,605000,2017,9
Bentleigh,4,h,S,hockingstuart,13,3204,3,2,2,610,112,1940,Glen Eira City Council,-37.9291,145.0472,Southern Metropolitan,6795,Carport,1328000,2016,10
Williamstown,2,u,S,Village,8,3016,2,1,1,0,73.8,2002.8,Hobsons Bay City Council,-37.8588,144.8919,Western Metropolitan,6380,Attached Garage,490000,2017,4
Moorabbin,3,h,PI,Ray,14.6,3189,3,2,1,374,137,1950,Kingston City Council,-37.939,145.0533,Southern Metropolitan,2555,Indoor,725000,2016,5
Preston,2,t,SA,Nelson,8.4,3072,3.2,1.4,1.2,500.4,158.6,1988.8,Darebin City Council,-37.80982,144.802462,Northern Metropolitan,14577,Detached Garage,645000,2017,3
Thornbury,2,h,S,Holland,6.5,3071,2,1,1,258,157,1978.6,Darebin City Council,-37.7584,144.9971,Northern Metropolitan,8870,Underground,925000,2016,9
Preston,3,h,S,hockingstuart,8.8,3072,3,1,1,674,90,1955,Darebin City Council,-37.7341,145.0275,Northern Metropolitan,14577,Carport,910000,2017,4
Heidelberg Heights,4,h,S,Miles,10.5,3081,4,1,2,722,208,1975,Banyule City Council,-37.7477,145.0565,Eastern Metropolitan,2947,Outdoor Stall,856000,2016,8
Coburg,4,h,VB,Nelson,6.7,3058,4,2,2,286.6,157,1930,Darebin City Council,-37.75369,144.95462,Northern Metropolitan,11204,Indoor,1300000,2017,9
Essendon West,3,h,S,Nelson,7.5,3040,3,1,2,793,155.8,1953.4,Moonee Valley City Council,-37.74944,144.88479,Western Metropolitan,588,Carport,1390000,2017,6
Murrumbeena,2,h,S,Gary,12.1,3163,2,1,1,646,92,1979,Glen Eira City Council,-37.8949,145.072,Southern Metropolitan,4442,Indoor,707000,2017,8
Abbotsford,2,u,S,Biggin,2.5,3067,2,2,1,0,86,2013,Yarra City Council,-37.8055,144.9961,Northern Metropolitan,4019,Underground,870000,2017,5
South Yarra,2,u,S,Biggin,3.3,3141,2,1,1,309,64,1960,Melbourne City Council,-37.8383,145.0014,Southern Metropolitan,14887,Detached Garage,693000,2016,10
McKinnon,3,t,S,Hodges,11.4,3204,3.8,1.8,1.8,552.8,175.2,1967.2,Glen Eira City Council,-37.849102,145.075798,Southern Metropolitan,2397,Detached Garage,1140000,2017,6
North Melbourne,4,h,S,McDonald,2.3,3051,3,2,1,246,191,1960.8,Melbourne City Council,-37.7914,144.9439,Northern Metropolitan,6821,Underground,1330000,2016,10
Melton,4,h,S,YPA,13.08,3337,4,2,2,643,30,1994.6,Melton City Council,-37.68834,144.56803,Western Victoria,3600,Detached Garage,400000,2017,3
Brighton,2,u,S,Hodges,11.2,3186,2,1,1,90,74,1960,Bayside City Council,-37.9122,145.0038,Southern Metropolitan,10579,Detached Garage,800000,2016,4
Elwood,2,u,PI,hockingstuart,7.7,3184,2,1,1,510,109.8,1972.6,Port Phillip City Council,-37.881,144.9837,Southern Metropolitan,8989,Indoor,680000,2017,4
Reservoir,3,h,PI,Barry,12,3073,3,1,2,750,166.6,1991.4,Darebin City Council,-37.70058,144.98905,Northern Metropolitan,21650,Carport,760000,2017,10
Essendon,3,h,PI,Nelson,7.5,3040,3,1,2,476,137,1977.2,Moonee Valley City Council,-37.75759,144.92788,Western Metropolitan,9264,Underground,1240000,2017,8
Glenroy,3,h,S,Stockdale,13,3046,2.4,1.2,1.4,637,98.4,1975.6,Moreland City Council,-37.767554,145.002724,Northern Metropolitan,8870,Detached Garage,695000,2016,10
Eaglemont,4,h,SP,Miles,8.9,3084,4,3,3,473,221.8,1930,Banyule City Council,-37.75922,145.05555,Eastern Metropolitan,1651,Parkade,1950000,2018,3
Wantirna,3,h,S,hockingstuart,14.7,3152,3,2,2,560,129,1982,Knox City Council,-37.86422,145.2272,Eastern Metropolitan,5424,Attached Garage,812000,2017,9
Coburg,2,t,S,Peter,7.8,3058,2,1,1,0,86,1900,Darebin City Council,-37.7367,144.9701,Northern Metropolitan,11204,Detached Garage,570000,2016,8
Point Cook,3,h,PI,Sanctuary,14.7,3030,3,2,2,485,180,2010,Wyndham City Council,-37.90579,144.76861,Western Metropolitan,15542,Parkade,620000,2018,2
Mernda,4,h,S,Ray,12.8,3754,4,2,2,446,139.2,1971,Whittlesea City Council,-37.61338,145.09673,Northern Metropolitan,5812,Attached Garage,810000,2017,7
Ashburton,3,h,S,Jellis,11,3147,3,2,2,869,198.4,1943.8,Boroondara City Council,-37.8686,145.0721,Southern Metropolitan,3052,Detached Garage,1912500,2017,4
Greensborough,3,h,S,Buckingham,16.1,3088,3,3,2,668,128,1973,Banyule City Council,-37.69022,145.09414,Northern Metropolitan,8524,Indoor,800000,2017,7
Fairfield,3,h,S,Jellis,5.7,3078,3,2,0,478,174.4,1928.6,Darebin City Council,-37.78022,145.01771,Northern Metropolitan,2970,Indoor,1550000,2017,1
Brunswick,3,h,PI,Jellis,5.2,3056,3,1,1,243,157.7,1950.6,Moreland City Council,-37.772,144.9515,Northern Metropolitan,11918,Parkade,1100000,2017,11
Craigieburn,4,h,S,Millership,20.6,3064,4,1,2,691,151,1996.6,Hume City Council,-37.5941,144.9399,Northern Metropolitan,15510,Parkade,585000,2017,11
Canterbury,2,u,PI,Fletchers,8.4,3126,2,1,1,116,85,1960,Boroondara City Council,-37.82012,145.08526,Southern Metropolitan,3265,Parkade,850000,2017,3
Reservoir,3,h,S,Stockdale,12,3073,3,1,1,562,134,1963.8,Darebin City Council,-37.71014,145.00306,Northern Metropolitan,21650,Parkade,810000,2017,7
Essendon,3,t,S,Frank,7.5,3040,2.4,1.2,2,501.2,130.6,1988.6,Moonee Valley City Council,-37.74069,144.971274,Western Metropolitan,9264,Outdoor Stall,806000,2017,3
Keilor East,3,h,VB,Nelson,12.8,3033,1.8,1.4,1.2,413.8,91.2,1984.2,Brimbank City Council,-37.813734,144.910312,Western Metropolitan,5629,Indoor,585000,2016,6
Heathmont,2,u,S,Fletchers,21.3,3135,2,1,1,0,80,1980,Maroondah City Council,-37.82118,145.24138,Eastern Metropolitan,3794,Carport,525000,2017,7
Footscray,4,h,SA,Nelson,5.1,3011,4,2,1,180,206,1994,Maribyrnong City Council,-37.79686,144.908,Western Metropolitan,7570,Detached Garage,1000000,2017,7
South Morang,3,h,S,Ray,20.5,3752,3,2,2,67.2,140,1995,Whittlesea City Council,-37.62693,145.09323,Northern Metropolitan,7969,Detached Garage,490000,2017,9
Balwyn,2,u,S,Noel,7.9,3103,2,1,1,1129,72,1960,Boroondara City Council,-37.81623,145.0841,Southern Metropolitan,5682,Detached Garage,602000,2017,5
Flemington,2,u,S,Nelson,3.4,3031,2,1,1,320,98.2,1998.4,Melbourne City Council,-37.78589,144.92802,Northern Metropolitan,3593,Attached Garage,530000,2017,3
Carlton,2,u,VB,Jellis,1.6,3053,2,2,2,0,145.2,2008,Melbourne City Council,-37.80279,144.96442,Northern Metropolitan,6786,Detached Garage,1100000,2017,5
Surrey Hills,2,u,S,Jellis,10.2,3127,2.4,1.8,1.6,223,146.2,1984.4,Boroondara City Council,-37.79428,144.9976,Southern Metropolitan,5457,Parkade,771000,2017,9
Niddrie,3,h,S,Barry,11.2,3042,3,1,1,654,159.4,1946.8,Moonee Valley City Council,-37.7412,144.8888,Western Metropolitan,2291,Carport,1076000,2016,4
North Melbourne,2,u,SP,Alexkarbon,2.3,3051,2,1,1,0,75,2002,Melbourne City Council,-37.8055,144.9547,Northern Metropolitan,6821,Indoor,630000,2016,9
Ferntree Gully,2,h,S,Ray,24.8,3156,2,1,1,550,111.8,1991.6,Knox City Council,-37.87837,145.28104,Eastern Metropolitan,10788,Parkade,594000,2017,8
Wollert,3,h,S,Iconek,12.16,3750,3,2,3,660,206,1952,Whittlesea City Council,-37.61313,145.03937,Northern Metropolitan,2940,Carport,780000,2017,9
Watsonia,4,h,S,Barry,14.5,3087,4,1,2,523,162.6,1978.2,Banyule City Council,-37.71723,145.08844,Northern Metropolitan,2329,Carport,750000,2018,3
Footscray,2,u,PI,Sweeney,6.4,3011,2,1,1,80,67,1960,Maribyrnong City Council,-37.7949,144.9007,Western Metropolitan,7570,Indoor,392500,2017,6
Yallambie,3,h,S,Buckingham,15,3085,2.8,1.6,1.8,520.2,146.4,1965.8,Banyule City Council,-37.811956,144.988002,Northern Metropolitan,1369,Detached Garage,758000,2016,11
Ascot Vale,3,h,S,Nelson,4.3,3032,3,2,2,449.8,144,1999,Moonee Valley City Council,-37.77879,144.92358,Western Metropolitan,6567,Attached Garage,1180000,2017,8
Montmorency,4,h,S,Morrison,16.2,3094,4,2,2,954,210,1996,Banyule City Council,-37.72087,145.12601,Eastern Metropolitan,3891,Detached Garage,1375000,2017,10
Caroline Springs,3,h,S,HAR,14.8,3023,2.6,1.2,1,109.4,97.2,1988.8,Melton City Council,-37.799052,144.931016,Western Metropolitan,7719,Indoor,585000,2017,6
Moonee Ponds,3,h,S,Jellis,6.9,3039,3,2,2,214,111,1997,Moonee Valley City Council,-37.7709,144.9334,Western Metropolitan,6232,Carport,832000,2016,10
Niddrie,3,h,S,Barry,11.2,3042,3,1,1,822,191.4,1989,Moonee Valley City Council,-37.7379,144.8854,Western Metropolitan,2291,Attached Garage,975000,2016,8
Camberwell,2,u,SP,Jellis,7.7,3124,2.6,1.2,1.4,397,108.3,1985.6,Boroondara City Council,-37.88862,145.058296,Southern Metropolitan,8920,Detached Garage,745000,2017,11
Croydon,3,h,S,iTRAK,23,3136,3,1,1.4,1082,122.2,1952.8,Maroondah City Council,-37.80618,145.27755,Eastern Metropolitan,11925,Detached Garage,1005000,2017,3
Chadstone,2,h,PI,Woodards,11.7,3148,2,1,2,897,66,1970,Monash City Council,-37.88321,145.09594,Southern Metropolitan,3582,Carport,510000,2017,5
Montmorency,5,h,S,Barry,16.2,3094,5,2,2,1007,183,1950,Banyule City Council,-37.72196,145.1134,Eastern Metropolitan,3891,Detached Garage,850000,2017,7
Bentleigh East,3,h,S,hockingstuart,13.8,3165,3,2,1,260,105.4,1970.4,Glen Eira City Council,-37.92188,145.07266,Southern Metropolitan,10969,Attached Garage,890000,2017,5
Ashburton,2,h,S,Woodards,11,3147,2,1,1,627,154.2,1942.4,Boroondara City Council,-37.8689,145.0882,Southern Metropolitan,3052,Detached Garage,1450000,2017,8
Dingley Village,3,h,S,Ray,22.2,3172,3,2,2,534,139,1989.4,Kingston City Council,-37.98068,145.12494,South-Eastern Metropolitan,3940,Parking Pad,871000,2017,8
Fitzroy North,2,h,S,Nelson,3.5,3068,2,2,1,182,169.8,1880,Moreland City Council,-37.7843,144.9902,Northern Metropolitan,6244,Indoor,1802500,2017,8
Glenroy,3,h,S,Barry,13,3046,3,1,2,766,127,1965,Moreland City Council,-37.6988,144.9372,Northern Metropolitan,8870,Attached Garage,806500,2016,3
Eltham,4,h,S,Morrison,18,3095,4,2,2,552.6,150.4,1938,Banyule City Council,-37.71437,145.16531,Eastern Metropolitan,6990,Detached Garage,930000,2017,10
Westmeadows,4,h,VB,Barry,16.5,3049,4,2,0,480.4,109,1985.8,Hume City Council,-37.68006,144.8755,Northern Metropolitan,2474,Detached Garage,720000,2017,8
Travancore,4,h,PI,Nelson,4.3,3032,4,3,2,291,190,1946.8,Moonee Valley City Council,-37.77784,144.93482,Western Metropolitan,1052,Parkade,2070000,2017,12
Greensborough,3,h,S,Darren,16.1,3088,3,1,2,840,137,1960,Banyule City Council,-37.69443,145.11245,Northern Metropolitan,8524,Outdoor Stall,785000,2017,9
Surrey Hills,2,h,S,Woodards,10.2,3127,2,1,1,257.6,116.4,1954.6,Boroondara City Council,-37.82639,145.09009,Southern Metropolitan,5457,Indoor,855000,2017,9
Keilor East,3,h,S,Nelson,12.8,3033,3,1,2,538,133.8,1966,Brimbank City Council,-37.7486,144.8778,Western Metropolitan,5629,Parkade,823000,2016,11
Brooklyn,3,h,S,Greg,10.9,3012,2.8,1.4,1.6,361,106.6,1987.2,Brimbank City Council,-37.808028,145.020262,Western Metropolitan,962,Underground,712000,2016,5
Port Melbourne,3,u,SP,Wilson,3.8,3207,3,2,2,0,139,2012,Melbourne City Council,-37.841,144.9379,Southern Metropolitan,8648,Carport,1200000,2016,3
Northcote,2,h,S,hockingstuart,5.5,3070,2,1,1,225,92,1910,Darebin City Council,-37.7663,145.0009,Northern Metropolitan,11364,Outdoor Stall,890000,2016,5
Balaclava,2,u,SP,McGrath,6.4,3183,3,1.4,1.2,435.2,128.2,1997.8,Port Phillip City Council,-37.74764,144.908514,Southern Metropolitan,2952,Indoor,652000,2018,3
Carrum Downs,3,h,S,Ray,13.28,3201,3,2,2,509,125,1993,Frankston City Council,-38.09111,145.19084,South-Eastern Metropolitan,8060,Underground,500000,2017,6
Essendon,2,u,SP,Pagan,8,3040,2,1,1,0,73,2010,Moonee Valley City Council,-37.7504,144.9138,Western Metropolitan,9264,Attached Garage,485000,2016,10
Altona,4,h,S,Greg,13.8,3018,3.8,1.8,1.2,723.4,170.2,1974.6,Hobsons Bay City Council,-37.85924,145.04571,Western Metropolitan,5301,Carport,925000,2017,8
Collingwood,2,u,PI,hockingstuart,1.6,3066,1.8,1,1,211.8,108.2,1981,Yarra City Council,-37.820226,144.919846,Northern Metropolitan,4553,Attached Garage,380000,2016,8
Epping,4,h,S,Harcourts,19.6,3076,4,2,2,656,166,1980,Whittlesea City Council,-37.63878,145.05577,Northern Metropolitan,10926,Carport,680000,2017,6
Prahran,3,h,SA,hockingstuart,4.6,3181,3.4,1.8,1.8,515,184.8,1954.2,Stonnington City Council,-37.84289,145.026382,Southern Metropolitan,7717,Parkade,1705000,2017,12
Northcote,4,h,S,McGrath,5.5,3070,3,1,1,654,163.8,1940.4,Darebin City Council,-37.7756,145.0082,Northern Metropolitan,11364,Detached Garage,1830000,2016,9
Fitzroy,2,u,PI,Nelson,1.6,3065,2.8,1.2,1,471.2,139.8,1967,Yarra City Council,-37.798738,144.992034,Northern Metropolitan,5825,Carport,1000000,2016,9
Fawkner,3,h,S,Brad,12.4,3060,2,1,1,583,117,1996,Hume City Council,-37.6949,144.9619,Northern Metropolitan,5070,Outdoor Stall,550000,2016,9
Essendon,6,h,VB,Joe,8,3040,7,2,2,870,186.8,1925.4,Moonee Valley City Council,-37.7517,144.9018,Western Metropolitan,9264,Outdoor Stall,1800000,2016,6
Port Melbourne,2,u,VB,Buxton,3.8,3207,2,1,1,218.4,54,2012,Melbourne City Council,-37.8415,144.9412,Southern Metropolitan,8648,Carport,520000,2017,8
Pascoe Vale,3,h,VB,Jellis,9.9,3044,3,1,3,490,129,1977.4,Moreland City Council,-37.7195,144.9513,Northern Metropolitan,7485,Carport,600000,2017,3
Hawthorn East,2,u,S,Jellis,6.2,3123,2,1,1,0,121.6,1992.6,Boroondara City Council,-37.83781,145.05234,Southern Metropolitan,6482,Outdoor Stall,595000,2017,12
Balwyn North,4,h,S,Noel,9.2,3104,3.8,1.8,2.2,619.6,247.6,1960,Boroondara City Council,-37.864422,145.0556,Southern Metropolitan,7809,Parking Pad,1850000,2017,5
Maribyrnong,2,u,S,Biggin,4.3,3032,2.4,1,1.2,316.2,75.6,1994.6,Maribyrnong City Council,-37.771196,144.794232,Western Metropolitan,4918,Parking Pad,415000,2017,10
Altona North,3,h,S,Sweeney,11.1,3025,3,1,3,655,167.6,1955.6,Hobsons Bay City Council,-37.8338,144.8562,Western Metropolitan,5132,Detached Garage,1405000,2017,4
Clifton Hill,2,h,S,Harrington,3.4,3068,2,1,1,155,85,1880,Yarra City Council,-37.7934,144.9922,Northern Metropolitan,2954,Parkade,780000,2016,4
Northcote,3,h,SP,Nelson,5.5,3070,3,2,1,411,160.2,1953.4,Darebin City Council,-37.7744,145.0077,Northern Metropolitan,11364,Indoor,1610000,2017,5
Croydon,5,h,S,McGrath,23,3136,5,2,2,560.6,240,1950,Maroondah City Council,-37.787,145.2846,Eastern Metropolitan,11925,Detached Garage,965000,2017,11
Ivanhoe East,5,h,S,hockingstuart,9,3079,4,3,3,826,250,1955,Banyule City Council,-37.7793,145.0654,Eastern Metropolitan,1554,Carport,1797000,2016,5
Moonee Ponds,2,u,S,Jellis,6.2,3039,3,1.4,1.2,344.2,171.4,1978.2,Moonee Valley City Council,-37.80686,144.934268,Western Metropolitan,6232,Carport,660000,2017,10
Doncaster East,4,h,S,Barry,14.3,3109,3,1.6,1.4,456.2,147.2,1955.4,Manningham City Council,-37.835406,144.99493,Eastern Metropolitan,10999,Parkade,1630000,2018,2
Roxburgh Park,4,h,S,Raine,20.6,3064,4,2,2,313,181,1999,Hume City Council,-37.62453,144.93393,Northern Metropolitan,5833,Carport,536000,2017,10
Oakleigh,3,h,S,Ray,12.3,3166,3,2,2,562,132,1940,Monash City Council,-37.90537,145.09365,Southern Metropolitan,3224,Attached Garage,1315000,2017,10
Footscray,6,h,S,Nelson,5.1,3011,6,2,2,450.2,215,1962.6,Maribyrnong City Council,-37.79559,144.90008,Western Metropolitan,7570,Attached Garage,1527000,2018,6
Brighton East,3,h,S,hockingstuart,10.7,3187,3,2,2,697,143,1925,Bayside City Council,-37.9269,145.0274,Southern Metropolitan,6938,Detached Garage,1480000,2016,7
Alphington,2,u,S,McGrath,6.4,3078,2,1,1,0,89.042,1981,Darebin City Council,-37.7773,145.0314,Northern Metropolitan,2211,Detached Garage,465000,2016,12
Oakleigh South,3,h,S,Buxton,14.7,3167,3.6,1.8,1.8,606.2,191.6,1970.4,Kingston City Council,-37.898546,145.152784,South-Eastern Metropolitan,3692,Indoor,900000,2016,8
